,Product Code,Quality,Process T (C),Ambient T (C),T Difference Squared (C^2),Tool Lifespan (min),Tool Lifespan/Temp Increase^2 (min/C^2),Rotation Speed (rpm),Torque (Nm),Horsepower (HP),Machine Status
18021,Z,M,38.95,29.45,90.25000000000007,181.0,2.0,1445.0,42.0,11.555597867479056,0.0
18022,Z,L,38.95,29.55,88.36000000000004,184.0,2.0,1763.0,26.5,8.89556359482102,0.0
18023,T,L,39.05,29.55,90.24999999999993,186.0,2.0,1611.0,34.1,10.459843869002286,0.0
18024,S,M,38.95,29.55,88.36000000000004,188.0,2.0,1564.0,32.1,9.55910129474486,0.0
18025,S,H,38.95,29.55,88.36000000000004,191.0,2.0,1478.0,36.0,10.13099771515613,0.0
18026,T,L,38.85,29.45,88.36000000000004,196.0,2.0,1781.0,28.5,9.66460396039604,0.0
18027,T,L,38.95,29.45,90.25000000000007,198.0,2.0,1782.0,26.8,9.093221629855293,0.0
18028,Z,M,39.35,29.75,92.16000000000003,23.0,0.0,1903.0,21.2,7.681568926123381,0.0
18029,S,M,39.35,29.75,92.16000000000003,20.0,0.0,1551.0,40.0,11.812642802741813,0.0
18030,Z,L,39.35,29.75,92.16000000000003,17.0,0.0,1924.0,24.0,8.792079207920793,0.0
18031,S,H,39.35,29.75,92.16000000000003,12.0,0.0,1357.0,55.0,14.210776846915461,0.0
18032,T,L,39.25,29.65,92.16000000000003,10.0,0.0,1368.0,49.5,12.893373952779893,0.0
18033,T,L,39.25,29.65,92.16000000000003,8.0,0.0,1376.0,57.1,14.959939070830162,0.0
18034,Z,L,39.25,29.75,90.25,155.0,2.0,1424.0,49.5,13.421172886519422,0.0
18035,S,M,39.25,29.75,90.25,5.0,0.0,1334.0,50.9,12.928522467631376,0.0
18036,K,L,38.95,29.45,90.25000000000007,215.0,2.0,1499.0,35.0,9.98952779893374,0.0
18037,T,M,38.95,29.45,90.25000000000007,210.0,2.0,1611.0,39.9,12.238937547600912,0.0
18038,S,L,39.05,29.45,92.15999999999995,208.0,2.0,1520.0,43.0,12.444782939832445,0.0
18039,T,L,38.95,29.45,90.25000000000007,206.0,2.0,1344.0,51.0,13.051028179741051,0.0
18040,K,M,38.85,29.35,90.25,203.0,2.0,1826.0,25.3,8.796230007616147,0.0
18041,S,M,38.95,29.45,90.25000000000007,200.0,2.0,2000.0,21.9,8.33968012185834,0.0
18042,S,M,39.05,29.55,90.24999999999993,2.0,0.0,1350.0,58.6,15.062833206397563,0.0
18043,S,M,39.25,29.75,90.25,152.0,2.0,1659.0,33.1,10.45561690784463,0.0
18044,K,L,39.25,29.75,90.25,150.0,2.0,1561.0,34.8,10.343259710586443,0.0
18045,S,L,39.15,29.75,88.35999999999997,148.0,2.0,1889.0,22.8,8.200533130236101,0.0
18046,Z,M,39.55,29.85,94.08999999999992,99.0,1.0,1426.0,46.8,12.706930693069307,0.0
18047,Z,L,39.55,29.95,92.15999999999995,97.0,1.0,1353.0,51.8,13.344516374714393,0.0
18048,S,M,39.45,29.85,92.16000000000003,94.0,1.0,1392.0,42.9,11.37029702970297,0.0
18049,S,H,39.35,29.85,90.25,89.0,1.0,1698.0,30.0,9.6991622239147,0.0
18050,Z,L,39.35,29.85,90.25,87.0,1.0,1626.0,30.5,9.442688499619193,0.0
18051,Z,L,39.35,29.75,92.16000000000003,85.0,1.0,1683.0,32.1,10.286424219345012,0.0
18052,T,L,39.55,29.85,94.08999999999992,102.0,1.0,2024.0,19.9,7.669002284843868,0.0
18053,S,M,39.45,29.75,94.09000000000006,82.0,1.0,1394.0,46.4,12.315613099771515,0.0
18054,Z,M,39.35,29.85,90.25,76.0,1.0,1524.0,42.1,12.216374714394517,0.0
18055,T,L,39.35,29.75,92.16000000000003,74.0,1.0,1629.0,30.4,9.42909367859863,0.0
18056,K,L,39.35,29.75,92.16000000000003,72.0,1.0,1550.0,45.5,13.428217821782178,0.0
18057,Z,L,39.25,29.65,92.16000000000003,70.0,1.0,1436.7472709381393,46.2,12.638561294238773,0.0
18058,K,L,39.35,29.65,94.09000000000006,68.0,1.0,1462.0,43.4,12.08126428027418,0.0
18059,S,L,39.35,29.65,94.09000000000006,66.0,1.0,1694.0,28.4,9.16024371667936,0.0
18060,K,M,39.35,29.75,92.16000000000003,79.0,1.0,1679.0,30.9,9.878351104341203,0.0
18061,T,H,39.15,29.75,88.35999999999997,26.0,0.0,1417.0,48.7,13.139356435643567,0.0
18062,Z,M,39.65,29.85,96.03999999999995,104.0,1.0,1648.0,32.1,10.072505712109674,0.0
18063,T,L,39.65,29.95,94.08999999999999,109.0,1.0,1465.0,44.1,12.301313785224677,0.0
18064,S,M,39.15,29.75,88.35999999999997,145.0,2.0,1339.0,52.1,13.28292079207921,0.0
18065,Z,M,39.25,29.85,88.35999999999997,142.0,2.0,1596.2784542518048,36.1,10.972134843581522,0.0
18066,Z,L,39.35,29.95,88.36000000000004,140.0,2.0,1453.0,49.1,13.58383472962681,0.0
18067,K,L,39.45,29.95,90.25000000000007,138.0,2.0,1514.0,42.1,12.136214775323687,0.0
18068,T,M,39.35,29.85,90.25,135.0,1.0,1602.0,33.7,10.279398324447829,0.0
18069,T,L,39.45,29.95,90.25000000000007,132.0,1.0,1567.0,32.9,9.81612718964204,0.0
18070,T,L,39.75,29.95,96.04000000000002,107.0,1.0,1511.0,40.1,11.536766945925361,0.0
18071,T,M,39.45,29.95,90.25000000000007,129.0,1.0,1895.0,23.5,8.479150799695354,0.0
18072,S,L,39.45,29.85,92.16000000000003,125.0,1.0,1451.0,42.1,11.631207159177455,0.0
18073,S,L,39.55,29.85,94.08999999999992,122.0,1.0,1553.0,35.8,10.585948210205634,0.0
18074,Z,L,39.55,29.85,94.08999999999992,120.0,1.0,1361.0,48.8,12.646001523229247,0.0
18075,Z,H,39.65,29.95,94.08999999999999,115.0,1.0,1435.0,41.9,11.448305407463824,0.0
18076,S,L,39.65,29.95,94.08999999999999,113.0,1.0,2329.0,15.1,6.696096725057122,0.0
18077,S,L,39.55,29.85,94.08999999999992,111.0,1.0,1551.0,41.8,12.344211728865194,0.0
18078,K,L,39.35,29.85,90.25,127.0,1.0,1461.0,40.2,11.182825590251333,0.0
18079,T,L,38.85,29.15,94.09000000000006,165.0,2.0,1354.0,52.2,13.457501904036558,0.0
18080,T,L,38.95,29.55,88.36000000000004,31.0,0.0,1601.0,35.2,10.730236100533132,0.0
18081,T,L,38.95,29.45,90.25000000000007,35.0,0.0,1439.0,52.3,14.329722010662604,0.0
18082,K,L,38.65,29.25,88.35999999999997,132.0,1.0,1493.0,38.4,10.916070068545315,0.0
18083,K,L,38.65,29.25,88.35999999999997,134.0,2.0,1433.0,42.2,11.514204112718966,0.0
18084,Z,L,38.55,29.15,88.35999999999997,136.0,2.0,1400.0,41.6,11.089108910891088,0.0
18085,K,L,38.65,29.25,88.35999999999997,138.0,2.0,1255.0,59.0,14.098438690022848,0.0
18086,K,L,38.55,29.05,90.24999999999993,140.0,2.0,1471.0,45.6,12.771820258948972,0.0
18087,T,H,38.45,29.05,88.36000000000004,142.0,2.0,1357.0,44.2,11.42029702970297,0.0
18088,Z,L,38.55,29.15,88.35999999999997,147.0,2.0,1453.0,41.2,11.3982482863671,0.0
18089,Z,M,38.55,29.15,88.35999999999997,149.0,2.0,1540.0,28.9,8.474105102817974,0.0
18090,Z,L,38.65,29.15,90.25,152.0,2.0,1605.0,35.2,10.757044935262758,0.0
18091,T,H,38.75,29.15,92.16000000000003,154.0,2.0,1374.0,52.4,13.708606245239906,0.0
18092,Z,M,38.75,29.15,92.16000000000003,159.0,2.0,1508.0,42.3,12.145544554455444,0.0
18093,Z,H,38.75,29.25,90.25,162.0,2.0,1366.0,47.3,12.302322924600151,0.0
18094,K,H,38.85,29.35,90.25,167.0,2.0,1579.0,35.7,10.733111195734958,0.0
18095,S,L,38.75,29.35,88.35999999999997,172.0,2.0,1213.9575700528799,59.7,13.799174968042065,0.0
18096,K,M,38.85,29.35,90.25,174.0,2.0,1521.0,40.2,11.642079207920792,0.0
18097,T,L,38.85,29.35,90.25,177.0,2.0,1411.0,44.2,11.874752475247526,0.0
18098,Z,H,38.85,29.35,90.25,179.0,2.0,1499.316083613886,42.0,11.989961064695965,0.0
18099,Z,M,38.95,29.25,94.09000000000006,7.0,0.0,1492.0,47.7,13.550723533891853,0.0
18100,S,L,38.85,29.25,92.16000000000003,5.0,0.0,1508.0,36.9,10.595049504950495,0.0
18101,T,L,38.95,29.35,92.16000000000003,3.0,0.0,1534.0,38.6,11.274257425742574,0.0
18102,K,L,38.85,29.25,92.16000000000003,206.0,2.0,1457.0,45.5,12.622524752475247,0.0
18103,K,L,38.75,29.25,90.25,204.0,2.0,1671.0,29.9,9.513118811881187,0.0
18104,Z,H,38.55,29.15,88.35999999999997,127.0,1.0,1482.0,39.0,11.004950495049505,0.0
18105,S,L,38.65,29.25,88.35999999999997,202.0,2.0,1416.0,46.1,12.42909367859863,0.0
18106,Z,L,38.55,29.15,88.35999999999997,197.0,2.0,1648.0,32.1,10.072505712109674,0.0
18107,K,M,38.55,29.15,88.35999999999997,194.0,2.0,1341.0,46.3,11.821839299314545,0.0
18108,Z,L,38.45431450871458,29.25,84.71940557533375,192.0,2.0,1541.0,37.9,11.120316070068544,0.0
18109,Z,M,38.85,29.35,90.25,189.0,2.0,1451.0,43.2,11.935110434120336,0.0
18110,K,L,38.75,29.35,88.35999999999997,187.0,2.0,1553.0,40.1,11.857444782939833,0.0
18111,T,M,38.85,29.35,90.25,184.0,2.0,1436.0,43.5,11.893754760091394,0.0
18112,Z,M,38.55,29.15,88.35999999999997,199.0,2.0,1640.0,31.5,9.836252856054836,0.0
18113,S,M,38.65,29.15,90.25,124.0,1.0,1879.0,23.0,8.228674790555978,0.0
18114,S,L,38.65,29.25,88.35999999999997,122.0,1.0,1648.0,30.0,9.413556740289414,0.0
18115,K,L,38.55,29.15,88.35999999999997,117.0,1.0,1465.0,43.5,12.133948971820258,0.0
18116,S,L,38.85,29.45,88.36000000000004,70.0,1.0,1674.0,32.2,10.263290175171363,0.0
18117,K,H,38.85,29.55,86.49000000000001,65.0,1.0,1484.0,41.5,11.726199543031226,0.0
18118,Z,L,38.85,29.55,86.49000000000001,63.0,1.0,1828.0,24.0,8.353389185072354,0.0
18119,K,M,38.7159263164542,29.65,82.19101997537686,60.0,1.0,1452.0,50.3,13.906245239908605,0.0
18120,K,L,39.05,29.65,88.35999999999997,58.0,1.0,1682.0,30.9,9.896001523229245,0.0
18121,T,L,38.95,29.65,86.49000000000008,56.0,1.0,1958.0,20.3,7.568050266565118,0.0
18122,Z,L,38.75,29.45,86.49000000000001,72.0,1.0,1448.0,49.5,13.647372429550648,0.0
18123,T,L,38.95,29.65,86.49000000000008,54.0,1.0,1418.0,51.4,13.877608530083776,0.0
18124,T,L,39.05,29.75,86.48999999999995,50.0,1.0,1367.0,55.1,14.341527037319116,0.0
18125,T,L,38.95,29.65,86.49000000000008,48.0,1.0,1520.0,39.9,11.547600913937547,0.0
18126,T,L,39.05,29.75,86.48999999999995,46.0,1.0,1677.0,30.5,9.738861386138614,0.0
18127,S,L,39.05,29.65,88.35999999999997,44.0,0.0,1746.0,27.4,9.108987052551408,0.0
18128,T,L,39.05,29.65,88.35999999999997,42.0,0.0,1458.0,51.0,14.158035034272658,0.0
18129,T,H,38.85,29.45,88.36000000000004,37.0,0.0,1657.0,29.3,9.244116527037319,0.0
18130,K,L,39.05,29.65,88.35999999999997,52.0,1.0,1509.0,36.5,10.487147753236862,0.0
18131,T,L,38.95,29.55,88.36000000000004,33.0,0.0,1543.0,37.5,11.017231530845391,0.0
18132,K,M,38.65,29.35,86.48999999999995,74.0,1.0,1873.3813447193504,19.1,6.812944341991545,0.0
18133,T,M,38.85,29.45,88.36000000000004,79.0,1.0,1496.0,45.0,12.817974105102818,0.0
18134,T,M,38.55,29.15,88.35999999999997,114.0,1.0,1494.0,37.1,10.553579588728104,0.0
18135,Z,L,38.55,29.25,86.48999999999995,112.0,1.0,1721.0,26.9,8.81471820258949,0.0
18136,Z,L,38.65,29.25,88.35999999999997,110.0,1.0,1476.0,46.6,13.096268088347298,0.0
18137,K,M,38.55,29.15,88.35999999999997,107.0,1.0,1504.0,37.3,10.681492764661082,0.0
18138,S,M,38.65,29.15,90.25,104.0,1.0,1355.0,50.1,12.92564737242955,0.0
18139,S,M,38.65,29.25,88.35999999999997,101.0,1.0,1539.0,39.9,11.691945925361766,0.0
18140,S,L,38.75,29.35,88.35999999999997,77.0,1.0,1452.0,47.4,13.104493526275705,0.0
18141,T,L,38.65,29.25,88.35999999999997,99.0,1.0,1384.0,50.9,13.413099771515611,0.0
18142,K,L,38.75,29.35,88.35999999999997,94.0,1.0,1520.0,44.9,12.994668697638994,0.0
18143,S,M,38.85,29.45,88.36000000000004,91.0,1.0,1363.0,45.7,11.860072353389187,0.0
18144,K,L,38.75,29.45,86.49000000000001,89.0,1.0,1633.0,30.9,9.607711348057881,0.0
18145,S,M,38.75,29.35,88.35999999999997,86.0,1.0,1524.0,34.8,10.098095963442498,0.0
18146,Z,L,38.75,29.45,86.49000000000001,84.0,1.0,1453.0,39.1,10.817269611576544,0.0
18147,Z,L,38.75,29.45,86.49000000000001,82.0,1.0,1397.0,46.9,12.475114242193449,0.0
18148,K,M,38.75,29.35,88.35999999999997,96.0,1.0,1554.6356289467028,38.8,11.48512231590481,0.0
18149,Z,L,37.35,27.95,88.36000000000004,91.0,1.0,1529.0,38.7,11.266622239146992,0.0
18150,T,L,37.55,27.75,96.03999999999995,18.0,0.0,1658.0,28.5,8.997143945163748,0.0
18151,S,L,37.65,27.75,98.00999999999998,125.0,1.0,1490.0,38.1,10.809025133282558,0.0
18152,Z,L,37.75,28.45,86.49000000000001,195.0,2.0,1385.0,50.7,13.370049504950495,0.0
18153,Z,L,37.95,28.65,86.49000000000008,197.0,2.0,1495.0,36.9,10.503712871287128,0.0
18154,Z,M,38.06074313797801,28.65,88.56208640900019,199.0,2.0,1665.8493055371796,31.6,10.023008007420959,0.0
18155,T,L,38.05,28.65,88.35999999999997,202.0,2.0,1840.0,26.6,9.31911652703732,0.0
18156,T,L,38.05,28.65,88.35999999999997,204.0,2.0,1822.0,26.2,9.08918507235339,0.0
18157,T,L,37.95,28.55,88.36000000000004,206.0,2.0,1646.1206725693382,32.8,10.280418518711784,0.0
18158,Z,M,37.25,27.65,92.16000000000003,59.0,1.0,1518.0,36.0,10.405178979436405,0.0
18159,K,L,37.75,28.35,88.35999999999997,2.0,0.0,1400.0,50.8,13.541507996953541,0.0
18160,S,L,37.65,28.25,88.35999999999997,4.0,0.0,1362.0,53.2,13.796344249809598,0.0
18161,T,M,37.65,28.25,88.35999999999997,6.0,0.0,1782.0,26.5,8.991431835491241,0.0
18162,S,L,37.35,27.75,92.16000000000003,57.0,1.0,1599.0,40.5,12.330445544554456,0.0
18163,Z,L,37.75,28.25,90.25,9.0,0.0,1566.3798895015952,38.3,11.42276271285436,0.0
18164,S,L,37.75,28.45,86.49000000000001,193.0,2.0,1706.0,29.5,9.582444782939833,0.0
18165,Z,L,37.75,28.35,88.35999999999997,11.0,0.0,1580.0,32.3,9.717060167555216,0.0
18166,Z,M,37.85,28.25,92.16000000000003,13.0,0.0,1427.0,43.2,11.737699923838537,0.0
18167,Z,H,37.35,27.75,92.16000000000003,49.0,1.0,1512.0,41.2,11.861081492764662,0.0
18168,S,L,37.75,28.15,92.16000000000003,16.0,0.0,1509.0,41.7,11.981207159177456,0.0
18169,T,L,37.35,27.65,94.09000000000006,47.0,0.0,1482.0,39.0,11.004950495049505,0.0
18170,Z,H,37.65,28.15,90.25,18.0,0.0,1434.0,39.5,10.785034272658034,0.0
18171,S,L,37.65,28.05,92.15999999999995,23.0,0.0,1392.0,52.6,13.94120335110434,0.0
18172,Z,L,37.25,27.75,90.25,45.0,0.0,1536.0,34.2,10.002132520944404,0.0
18173,K,M,37.65,28.15,90.25,25.0,0.0,1509.0,40.1,11.521496572734197,0.0
18174,T,M,37.55,28.05,90.24999999999993,28.0,0.0,1962.0,22.5,8.405369383092156,0.0
18175,Z,L,37.55,28.15,88.35999999999997,31.0,0.0,1536.0,39.3,11.493678598629092,0.0
18176,Z,L,37.65,28.15,90.25,33.0,0.0,1410.3581972059842,47.9,12.862939384266307,0.0
18177,Z,H,37.55,28.05,90.24999999999993,35.0,0.0,1747.0,27.3,9.080940594059406,0.0
18178,Z,L,37.45,28.05,88.36000000000004,40.0,0.0,1670.0,30.0,9.539223153084539,0.0
18179,K,M,37.35,27.65,94.09000000000006,54.0,1.0,1511.0,35.8,10.29965727341965,0.0
18180,S,L,37.45,28.15,86.49000000000008,42.0,0.0,1451.0,47.5,13.123095963442498,0.0
18181,S,M,37.85,28.55,86.49000000000001,190.0,2.0,1505.0,37.1,10.631283320639756,0.0
18182,Z,L,37.85,28.55,86.49000000000001,185.0,2.0,1585.0,35.9,10.834253617669459,0.0
18183,S,M,37.55,28.35,84.63999999999992,115.0,1.0,1359.0,47.1,12.187528560548364,0.0
18184,T,L,37.65,28.35,86.48999999999995,118.0,1.0,1500.0,41.0,11.70982482863671,0.0
18185,Z,L,37.65,28.35,86.48999999999995,120.0,1.0,1785.0,25.5,8.666698400609292,0.0
18186,S,L,37.75,28.35,88.35999999999997,122.0,1.0,1891.0,23.2,8.353236862147753,0.0
18187,S,H,37.25,27.75,90.25,69.0,1.0,1457.0,43.8,12.150913937547601,0.0
18188,K,H,37.75,28.35,88.35999999999997,124.0,1.0,1527.1754087322988,40.4,11.747503144094606,0.0
18189,T,M,37.85,28.45,88.36000000000004,129.0,1.0,1431.0,42.3,11.5253808073115,0.0
18190,T,L,37.93949376602863,28.45,90.0504919354963,132.0,1.0,1385.0,51.2,13.501904036557502,0.0
18191,S,L,37.85,28.55,86.49000000000001,134.0,2.0,1503.0,44.8,12.82071591774562,0.0
18192,K,M,37.85,28.55,86.49000000000001,136.0,2.0,1311.0,46.8,11.68217821782178,0.0
18193,T,L,37.25,27.75,90.25,67.0,1.0,1561.0,32.7,9.719097486671744,0.0
18194,T,M,37.932546450886036,28.45,89.91868719321138,139.0,2.0,1575.0,40.1,12.025418888042651,0.0
18195,S,L,37.85,28.45,88.36000000000004,142.0,2.0,1485.0,40.1,11.338252094440213,0.0
18196,K,M,37.85,28.55,86.49000000000001,187.0,2.0,1505.0,44.0,12.608530083777609,0.0
18197,T,L,37.85,28.55,86.49000000000001,144.0,2.0,1527.0,42.2,12.26949733434882,0.0
18198,S,H,37.95,28.65,86.49000000000008,149.0,2.0,1463.0,50.1,13.95588347296268,0.0
18199,T,L,38.05,28.55,90.24999999999993,154.0,2.0,1482.0,43.6,12.302970297029704,0.0
18200,S,L,38.05,28.65,88.35999999999997,156.0,2.0,1417.0,55.9,15.081930693069307,0.0
18201,T,M,37.95,28.55,88.36000000000004,158.0,2.0,1506.0,39.5,11.326542269611577,0.0
18202,Z,H,38.05,28.55,90.24999999999993,161.0,2.0,1639.0,30.0,9.362147753236862,0.0
18203,K,L,38.05,28.55,90.24999999999993,166.0,2.0,1418.0,38.0,10.25971058644326,0.0
18204,K,M,37.85,28.55,86.49000000000001,168.0,2.0,1239.5591486666817,58.1,13.712564077976811,0.0
18205,T,L,37.25,27.75,90.25,65.0,1.0,1427.0,47.0,12.77018278750952,0.0
18206,S,M,38.06250343916146,28.65,88.59522099222634,171.0,2.0,1395.0,44.6,11.846344249809597,0.0
18207,S,M,37.25,27.65,92.16000000000003,62.0,1.0,1450.0,39.4,10.877760853008377,0.0
18208,Z,M,37.95,28.55,88.36000000000004,174.0,2.0,1523.3499473931593,40.5,11.74708165830597,0.0
18209,S,M,37.95,28.65,86.49000000000008,177.0,2.0,1597.0,29.8,9.06142421934501,0.0
18210,Z,H,37.85,28.55,86.49000000000001,180.0,2.0,2016.0,19.3,7.408377760853009,0.0
18211,T,M,37.85,28.55,86.49000000000001,146.0,2.0,1537.0,33.5,9.803789032749428,0.0
18212,T,L,37.45,28.15,86.49000000000008,113.0,1.0,1560.0,36.8,10.93069306930693,0.0
18213,Z,L,37.25,27.75,90.25,43.0,0.0,1487.198942123282,43.1,12.204545774088624,0.0
18214,T,M,37.55,28.15,88.35999999999997,46.0,1.0,1819.0,25.5,8.831778370144706,0.0
18215,T,L,37.55,27.95,92.15999999999995,106.0,1.0,1402.211679801115,48.2,12.868736284541841,0.0
18216,T,L,37.55,27.95,92.15999999999995,108.0,1.0,1621.0,31.0,9.567974105102818,0.0
18217,T,L,37.05,27.55,90.24999999999993,10.0,0.0,1493.0,35.9,10.20538842345773,0.0
18218,K,M,37.55,27.95,92.15999999999995,111.0,1.0,1367.0,43.4,11.296230007616145,0.0
18219,Z,L,37.05,27.45,92.15999999999995,8.0,0.0,1318.0,51.0,12.798552932216298,0.0
18220,S,M,37.05,27.45,92.15999999999995,5.0,0.0,1478.0,40.1,11.284805788271136,0.0
18221,Z,L,37.45,27.85,92.16000000000003,114.0,1.0,1588.0,33.7,10.18956587966489,0.0
18222,T,M,37.55,27.85,94.08999999999992,116.0,1.0,1497.0,37.6,10.717288651942118,0.0
18223,Z,L,37.05,27.45,92.15999999999995,3.0,0.0,1622.0,34.1,10.531264280274183,0.0
18224,Z,L,37.25,27.45,96.04000000000002,215.0,2.0,2514.0,13.4,6.414242193450114,0.0
18225,T,L,37.15,27.45,94.08999999999999,213.0,2.0,1484.0,41.0,11.584920030464584,0.0
18226,S,L,37.15,27.45,94.08999999999999,211.0,2.0,1794.0,24.4,8.334653465346534,0.0
18227,Z,H,37.15,27.55,92.15999999999995,12.0,0.0,1369.0,50.7,13.215594059405941,0.0
18228,Z,L,37.65,27.95,94.08999999999999,119.0,1.0,1608.0,32.9,10.072962680883473,0.0
18229,T,L,37.15,27.55,92.15999999999995,207.0,2.0,1458.0,40.0,11.104341203351105,0.0
18230,T,L,37.55,27.85,94.08999999999992,123.0,1.0,1391.0,45.0,11.918316831683168,0.0
18231,K,L,37.25,27.55,94.08999999999999,205.0,2.0,1366.0,52.6,13.680807311500383,0.0
18232,S,H,37.45,27.95,90.25000000000007,93.0,1.0,1782.0,24.9,8.448552932216298,0.0
18233,T,L,37.55,27.85,94.08999999999992,127.0,1.0,1727.0,34.5,11.344535415079969,0.0
18234,S,L,37.45,27.75,94.09000000000006,129.0,1.0,1504.0,46.4,13.287433358720486,0.0
18235,Z,L,37.45,27.75,94.09000000000006,131.0,1.0,1350.0,53.8,13.829017517136329,0.0
18236,T,M,37.55,27.75,96.03999999999995,133.0,1.0,1420.0,43.0,11.626047220106626,0.0
18237,S,L,37.25,27.55,94.08999999999999,203.0,2.0,1543.0,47.3,13.89640137090632,0.0
18238,T,H,37.45,27.65,96.04000000000008,136.0,1.0,1465.0,44.1,12.301313785224677,0.0
18239,K,L,37.35,27.55,96.04000000000002,201.0,2.0,1445.0,41.1,11.307977913175932,0.0
18240,T,L,37.35,27.55,96.04000000000002,199.0,2.0,1357.0,52.6,13.59067022086824,0.0
18241,K,L,37.55,27.75,96.03999999999995,141.0,1.0,1427.0,44.1,11.982235338918509,0.0
18242,S,L,37.65,27.85,96.03999999999995,121.0,1.0,1549.0,41.4,12.21031987814166,0.0
18243,T,L,37.55,28.05,90.24999999999993,44.0,0.0,1951.0,21.3,7.912471439451638,0.0
18244,S,M,37.45,27.95,90.25000000000007,103.0,1.0,1310.0,48.8,12.17212490479817,0.0
18245,Z,L,37.55,28.05,90.24999999999993,98.0,1.0,1657.43078199194,32.4,10.224820513430855,0.0
18246,K,M,37.65,28.15,90.25,49.0,1.0,1372.0,54.2,14.15887281035796,0.0
18247,K,L,37.65,28.15,90.25,52.0,1.0,1560.0,38.5,11.435643564356436,0.0
18248,T,M,37.65,28.15,90.25,54.0,1.0,1494.0,35.3,10.041546077684691,0.0
18249,K,L,37.65,28.15,90.25,57.0,1.0,1531.0,53.4,15.566527037319116,0.0
18250,S,L,37.65,28.15,90.25,59.0,1.0,1425.304080513946,46.9,12.727867741070844,0.0
18251,S,H,37.39255583001483,27.65,94.91739410095595,38.0,0.0,1777.0,30.1,10.18425361766946,0.0
18252,S,M,37.15,27.65,90.25,35.0,0.0,1494.0,42.2,12.004341203351105,0.0
18253,T,M,37.55,28.15,88.35999999999997,61.0,1.0,1391.0,52.5,13.904702970297029,0.0
18254,T,L,37.05,27.65,88.35999999999997,33.0,0.0,1850.0,22.8,8.031226199543031,0.0
18255,Z,L,37.45,28.05,88.36000000000004,64.0,1.0,1389.0,45.3,11.980521706016756,0.0
18256,S,L,37.05,27.55,90.24999999999993,31.0,0.0,1569.0,32.8,9.798781416603198,0.0
18257,Z,L,37.45,28.05,88.36000000000004,66.0,1.0,1409.0,50.9,13.655388423457728,0.0
18258,Z,H,37.45,27.95,90.25000000000007,68.0,1.0,1388.0,58.5,15.46039603960396,0.0
18259,K,L,37.05,27.45,92.15999999999995,17.0,0.0,1447.0,45.9,12.646096725057122,0.0
18260,Z,M,37.45,27.95,90.25000000000007,73.0,1.0,1410.0,43.9,11.785795887281036,0.0
18261,Z,M,37.35,27.95,88.36000000000004,76.0,1.0,1646.0,30.7,9.62151561309977,0.0
18262,S,M,37.55,27.95,92.15999999999995,79.0,1.0,2219.0,16.7,7.05584539223153,0.0
18263,K,L,37.05,27.55,90.24999999999993,26.0,0.0,1642.0,32.6,10.192155369383093,0.0
18264,Z,L,37.55,28.05,90.24999999999993,82.0,1.0,1551.0,41.2,12.167022086824067,0.0
18265,Z,M,37.05,27.45,92.15999999999995,23.0,0.0,1233.0,52.3,12.278351104341203,0.0
18266,T,L,37.05,27.45,92.15999999999995,21.0,0.0,1489.0,47.8,13.551827875095201,0.0
18267,S,L,37.45,28.05,88.36000000000004,84.0,1.0,1811.0,24.0,8.275704493526275,0.0
18268,T,L,37.55,28.15,88.35999999999997,86.0,1.0,1608.0,31.4,9.613709063214014,0.0
18269,K,L,37.65,28.15,90.25,88.0,1.0,1428.0,55.2,15.00868240670221,0.0
18270,K,L,37.65,28.25,88.35999999999997,90.0,1.0,1477.0,50.4,14.173800456968774,0.0
18271,T,M,37.55,28.15,88.35999999999997,92.0,1.0,1300.0,58.3,14.430693069306932,0.0
18272,K,M,37.55,28.05,90.24999999999993,95.0,1.0,1617.2324217024034,34.9,10.746651088616504,0.0
18273,K,L,36.95,27.45,90.25000000000007,19.0,0.0,1485.0,49.9,14.109196496572734,0.0
18274,K,M,37.05,27.55,90.24999999999993,28.0,0.0,1373.0,44.1,11.528808073115004,0.0
18275,T,L,37.55,27.75,96.03999999999995,143.0,1.0,1477.0,43.2,12.14897182025895,0.0
18276,Z,M,37.45,28.25,84.64000000000006,110.0,1.0,1565.0,36.1,10.757140137090632,0.0
18277,T,M,37.45,27.85,92.16000000000003,74.0,1.0,1316.513008909318,53.6,13.43585249001132,0.0
18278,K,M,37.25,28.25,81.0,173.0,2.0,1553.0,44.7,13.217650418888043,0.0
18279,Z,L,37.15,28.25,79.20999999999998,176.0,2.0,1374.0,47.6,12.452856054836253,0.0
18280,T,L,37.25,28.25,81.0,178.0,2.0,1430.0,50.9,13.858910891089108,0.0
18281,S,H,36.55,27.15,88.35999999999997,144.0,2.0,1582.0,30.8,9.277532368621477,0.0
18282,Z,L,37.728397341935946,28.15,91.74569564000561,180.0,2.0,1626.0,31.3,9.69036557501904,0.0
18283,K,H,37.35,28.25,82.81000000000003,182.0,2.0,1421.0,43.8,11.8506854531607,0.0
18284,S,H,36.55,27.15,88.35999999999997,139.0,2.0,1452.0,41.5,11.473343488194974,0.0
18285,K,M,37.25,28.15,82.81000000000003,187.0,2.0,1501.0,39.8,11.374676313785224,0.0
18286,K,M,36.65,27.25,88.35999999999997,136.0,2.0,1356.0,44.4,11.463518659558265,0.0
